,OPID,WoPC,Average_NO2,current_no2_y
134,56175196937,1098,31.851287606456324,15.08667238
135,58934192442,1098,31.851287606456324,26.212785345
137,58968570915,1098,31.851287606456324,26.88739009
139,58996183638,1098,31.851287606456324,17.3085829
140,59027180228,1098,31.851287606456324,27.25467619
141,59027191698,1098,31.851287606456324,18.37880977
142,59089179732,1098,31.851287606456324,27.25535876
144,59089190148,1098,31.851287606456324,27.698762955
146,59123642587,1098,31.851287606456324,27.84395833
147,59123661838,1098,31.851287606456324,29.15363413
148,59154682019,1098,31.851287606456324,27.96245535
149,59154697457,1098,31.851287606456324,33.05667433
150,59185625351,1098,31.851287606456324,38.604845409999996
152,59213189745,1098,31.851287606456324,34.9449741325
156,59244209244,1098,31.851287606456324,31.12091875
157,59244220466,1098,31.851287606456324,32.00500893
158,59247813335,1098,31.851287606456324,15.63772377
159,59275228867,1098,31.851287606456324,34.77986985
160,56175201215,1058,33.74793583923931,26.184791906666664
166,58937627459,1058,33.74793583923931,21.84375152
167,58996181964,1058,33.74793583923931,17.25596889
168,58996185777,1058,33.74793583923931,37.479288055
170,59092588802,1058,33.74793583923931,27.55779386
171,59092593948,1058,33.74793583923931,37.31165727
172,59182193031,1058,33.74793583923931,13.48949128
173,59213189807,1058,33.74793583923931,45.6412889
174,59216683724,1058,33.74793583923931,31.22920515
175,59275217180,1058,33.74793583923931,20.72681231
176,56175204811,1013,34.826686102912156,34.376501544999996
178,59030600272,1013,34.826686102912156,26.81093449
180,59089179949,1013,34.826686102912156,26.613459633333335
183,59182189280,1013,34.826686102912156,31.767161185
185,59182190396,1013,34.826686102912156,35.13958995
186,59185616361,1013,34.826686102912156,37.274915070000006
188,59185633876,1013,34.826686102912156,25.69754574
189,59213186955,1013,34.826686102912156,28.46549527
192,59213195139,1013,34.826686102912156,42.92602869
194,59244208097,1013,34.826686102912156,31.2520377475
198,59244220528,1013,34.826686102912156,35.85969452
199,59244221892,1013,34.826686102912156,27.997831460666664
202,59247799013,1013,34.826686102912156,20.11556317
203,56175205059,1054,29.727254362935525,31.829500485
205,58934195139,1054,29.727254362935525,26.351240620000002
208,58968591871,1054,29.727254362935525,30.853746450000003
211,58996180879,1054,29.727254362935525,26.01752559
212,59027183886,1054,29.727254362935525,40.10171052
213,59058191078,1054,29.727254362935525,25.13636394
214,59089184754,1054,29.727254362935525,23.63966014
215,59151189466,1054,29.727254362935525,27.69081075
216,59182184816,1054,29.727254362935525,28.33089887
217,59182191233,1054,29.727254362935525,30.02503674
218,59247826231,1054,29.727254362935525,33.99091249666667
221,56175205834,1087,17.766269150891674,26.21269597
223,58934191171,1087,17.766269150891674,26.30549355
224,58965182119,1087,17.766269150891674,24.41203574
226,58996189776,1087,17.766269150891674,29.61284631
228,59027182708,1087,17.766269150891674,18.02815303
229,59027191667,1087,17.766269150891674,26.810295574999998
231,59058187885,1087,17.766269150891674,32.271064984999995
233,59089179236,1087,17.766269150891674,26.960279659999998
235,59089188071,1087,17.766269150891674,15.39799355
236,59120187141,1087,17.766269150891674,8.62016556
237,59151197495,1087,17.766269150891674,24.9303959
239,59154693179,1087,17.766269150891674,31.696846700000002
243,59182187110,1087,17.766269150891674,30.22815421
244,59244223132,1087,17.766269150891674,29.75138445
245,56175206516,1032,23.11213868610774,27.77451413
246,59089178461,1032,23.11213868610774,24.801141983333334
