OPID,WoPC,current_no2_x,Average_NO2,current_no2_y
59027170401,3453,38.71778121,38.32097417,40.88098209
59027170401,3453,42.82922064,38.32097417,40.88098209
59027170401,3453,41.09594443,38.32097417,40.88098209
56175181282,3523,39.94257137,48.08086417,40.91151454
56175181282,3523,41.8804577,48.08086417,40.91151454
56175179577,3583,40.92738591,44.54628667,40.92738591
58965165472,3573,41.13914817,40.97689417,40.97958185
58965165472,3573,44.31202096,40.97689417,40.97958185
58965165472,3573,37.48757644,40.97689417,40.97958185
56178353109,3564,40.99151081,40.89195667,40.99151081
59213172416,3451,45.61370255,38.51100417,41.18669597
59213172416,3451,36.75968938,38.51100417,41.18669597
59213170494,3571,42.09542161,45.43473,41.27053057
59213170494,3571,40.44563954,45.43473,41.27053057
59278393750,3526,42.43699175,44.88250167,41.28462747
59278393750,3526,40.13226319,44.88250167,41.28462747
59275200905,3454,42.66667255,40.33584,41.35017126
59275200905,3454,42.1586996,40.33584,41.35017126
59275200905,3454,44.67243076,40.33584,41.35017126
59275200905,3454,39.58087633,40.33584,41.35017126
59275200905,3454,37.67217708,40.33584,41.35017126
59120171083,3553,42.29990427,45.6650425,41.38285588
59120171083,3553,40.46580748,45.6650425,41.38285588
58934169378,3554,38.3483078,45.82780167,41.38296568
58934169378,3554,44.41762357,45.82780167,41.38296568
59244190024,3582,40.72920817,47.64370083,41.48035783
59244190024,3582,42.2315075,47.64370083,41.48035783
59120171176,3453,41.49408803,38.32097417,41.49408803
59089167270,3571,41.50053969,45.43473,41.50053969
58965164728,3526,41.51657676,44.88250167,41.51657676
59247391332,3562,37.96297005,44.67627833,41.61013859
59247391332,3562,45.25730713,44.67627833,41.61013859
59058174214,3524,48.20072122,43.83816417,41.62819061
59058174214,3524,35.05566,43.83816417,41.62819061
59244190830,3524,41.64820325,43.83816417,41.64820325
58937338694,3544,41.65899635,44.815645,41.65899635
59182173408,3562,42.54891385,44.67627833,41.67977124
59182173408,3562,48.55855932,44.67627833,41.67977124
59182173408,3562,43.73009504,44.67627833,41.67977124
59182173408,3562,36.85848748,44.67627833,41.67977124
59182173408,3562,40.07221488,44.67627833,41.67977124
59182173408,3562,40.74536195,44.67627833,41.67977124
59182173408,3562,40.41919809,44.67627833,41.67977124
59182173408,3562,40.96845515,44.67627833,41.67977124
59182173408,3562,41.21665543,44.67627833,41.67977124
59089167797,3515,41.736525,47.45067,41.736525
59061333393,3564,43.8106651,40.89195667,41.73687634
59061333393,3564,39.66308759,40.89195667,41.73687634
59061334168,3552,42.2700695,47.74365833,41.78357335
59061334168,3552,35.20397135,47.74365833,41.78357335
59061334168,3552,49.2950109,47.74365833,41.78357335
59061334168,3552,40.36524167,47.74365833,41.78357335
59058171765,3573,47.76463671,40.97689417,41.79276399
59058171765,3573,40.88764028,40.97689417,41.79276399
59058171765,3573,36.72601498,40.97689417,41.79276399
59213172943,3453,41.86033764,38.32097417,41.86033764
59027170897,3515,41.74566255,47.45067,41.86180715
59027170897,3515,41.97795174,47.45067,41.86180715
59058171393,3453,41.87931895,38.32097417,41.87931895
59182170742,3524,42.04023123,43.83816417,42.04023123
58968317924,3572,43.67933389,45.9200025,42.04554611
58968317924,3572,40.41175833,45.9200025,42.04554611
59247398710,3525,42.12415163,45.97466417,42.12415163
59244194984,3544,42.12701114,44.815645,42.12701114
58934171300,3543,40.1791249,42.59304,42.14725466
58934171300,3543,44.11538442,42.59304,42.14725466
59120173842,3525,42.20966329,45.97466417,42.17595293
59120173842,3525,42.14224257,45.97466417,42.17595293
59185331378,3564,42.19692438,40.89195667,42.19692438
59027169192,3583,44.95608523,44.54628667,42.19712178
59027169192,3583,39.43815833,44.54628667,42.19712178
58968316715,3533,55.05850292,47.4578575,42.23352729
58968316715,3533,29.40855167,47.4578575,42.23352729
58996168789,3583,44.06805526,44.54628667,42.2399068
58996168789,3583,40.41175833,44.54628667,42.2399068
59182173594,3544,40.39903924,44.815645,42.25020517
59182173594,3544,44.1013711,44.815645,42.25020517
58968322636,3551,42.76654153,47.36161167,42.25153326
58968322636,3551,41.736525,47.36161167,42.25153326
59089169688,3572,43.05557668,45.9200025,42.25264837
59089169688,3572,41.44972005,45.9200025,42.25264837
59151174462,3541,42.44259875,44.18824333,42.25819281
59151174462,3541,42.07378688,44.18824333,42.25819281
59216351962,3552,42.2701222,47.74365833,42.2701222
58965164387,3533,42.53590232,47.4578575,42.32553649
58965164387,3533,42.11517065,47.4578575,42.32553649
56175178833,3552,42.35291759,47.74365833,42.35291759
58934173470,3452,42.40323377,40.16425833,42.40323377
58965164604,3524,43.92410683,43.83816417,42.42854982
58965164604,3524,40.9329928,43.83816417,42.42854982
59182173284,3522,42.6080845,47.2258175,42.46321762
59182173284,3522,42.31835075,47.2258175,42.46321762
58934172230,3564,43.93558213,40.89195667,42.47301729
58934172230,3564,41.01045244,40.89195667,42.47301729
59213170556,3527,45.05283319,47.73482,42.49295601
59213170556,3527,39.93307882,47.73482,42.49295601
59151174462,3541,44.91604533,44.18824333,42.50740286
59151174462,3541,46.84083733,44.18824333,42.50740286
59151174462,3541,35.76532591,44.18824333,42.50740286
59061335377,3524,42.54131747,43.83816417,42.54131747
59151174524,3454,42.60549039,40.33584,42.60549039
58996168293,3453,42.61130577,38.32097417,42.61130577
58937338663,3555,42.65011331,42.7075625,42.65011331
