OPID,WoPC,res_no2,mob_no2
59182186335,1067,26.9174433,38.7084368
59182190365,1097,29.82096913,31.67689058
59182190365,1097,29.82096913,31.67689058
59182190365,1097,29.82096913,31.67689058
59182190613,1104,26.34232467,31.73755923
59182190613,1104,26.34232467,31.73755923
59185615276,1061,36.14419401,33.37321789
59185615276,1061,36.14419401,33.37321789
59185617477,1103,28.27148116,31.70973878
59185621073,1060,22.75206034,28.25548733
59185621073,1060,22.75206034,28.25548733
59185622716,1066,27.24088671,29.34175081
59185622716,1066,27.24088671,29.34175081
59185622716,1066,27.24088671,29.34175081
59185622716,1066,27.24088671,29.34175081
59185634713,1052,33.45132983,35.07385027
59185634713,1052,33.45132983,35.07385027
59185641130,1102,26.41888078,22.68280328
59213185002,1067,26.9174433,23.28757218
59213185002,1067,26.9174433,23.28757218
59213186056,1083,25.94351931,28.91021648
59213186056,1083,25.94351931,28.91021648
59213190923,1081,27.31671948,36.34074304
59213190923,1081,27.31671948,36.34074304
59213191481,1036,17.98373927,21.77641132
59213192318,1061,36.14419401,41.52187284
59213192845,1033,25.78639443,39.38767257
59213192845,1033,25.78639443,39.38767257
59213192876,1109,20.87664399,23.37622376
59213195356,1095,34.31355956,27.47835247
59213196596,1069,21.12580737,19.57968373
59213196596,1069,21.12580737,19.57968373
59216657064,1083,25.94351931,24.3545317
59216657064,1083,25.94351931,24.3545317
59216659978,1069,21.12580737,23.99346021
59216659978,1069,21.12580737,23.99346021
59216659978,1069,21.12580737,23.99346021
59216660629,1081,27.31671948,27.5557956
59216661249,1095,34.31355956,26.1007812
59216661249,1095,34.31355956,26.1007812
59216662427,1067,26.9174433,39.60553314
59216667852,1097,29.82096913,26.62237756
59216671479,1015,29.54187511,48.83656429
59216684065,1103,28.27148116,37.50726738
59244207942,1033,25.78639443,34.27926342
59244207942,1033,25.78639443,34.27926342
59244207942,1033,25.78639443,34.27926342
59244208748,1103,28.27148116,35.03396286
59244208748,1103,28.27148116,35.03396286
59244210050,1069,21.12580737,22.99979992
59244210732,1014,37.23669863,30.5629434
59244210732,1014,37.23669863,30.5629434
59244211910,1027,30.5689322,27.01707238
59244211910,1027,30.5689322,27.01707238
59244213088,1094,23.30042864,26.80969195
59244213987,1067,26.9174433,26.86491556
59244213987,1067,26.9174433,26.86491556
59244213987,1067,26.9174433,26.86491556
59244214111,1062,36.50650769,32.96039148
59244214328,1069,21.12580737,17.65500201
59244214328,1069,21.12580737,17.65500201
59244214328,1069,21.12580737,17.65500201
59244215506,1073,29.9305428,33.26533829
59244216467,1052,33.45132983,35.16953452
59244216467,1052,33.45132983,35.16953452
59244217831,1013,34.8266861,27.17810765
59244218110,1060,22.75206034,29.25067532
59244218234,1053,32.62076301,28.51477814
59244218482,1072,29.47638734,37.67505224
59244218482,1072,29.47638734,37.67505224
59244220962,1015,29.54187511,23.93851163
59247803911,1055,36.2696021,29.91108839
59247805058,1069,21.12580737,31.65915125
59247813211,1076,35.39856929,28.74132181
59247813211,1076,35.39856929,28.74132181
59247814203,1066,27.24088671,27.25254801
59247814203,1066,27.24088671,27.25254801
59247822635,1019,33.35599031,47.14235315
59247823007,1061,36.14419401,37.05006925
59247823255,1067,26.9174433,22.96930042
59247831656,1013,34.8266861,47.62418403
59275214018,1025,24.12998177,26.10748859
59275217521,1097,29.82096913,37.70848645
59275220280,1081,27.31671948,19.91134904
59275220280,1081,27.31671948,19.91134904
59275221179,1067,26.9174433,30.55864224
59275221179,1067,26.9174433,30.55864224
59275222016,1056,36.14041156,32.48093837
59275222636,1025,24.12998177,28.01332749
59275222636,1025,24.12998177,28.01332749
59275223318,1060,22.75206034,17.25596889
