,OPID,WoPC,current_no2_x,Average_NO2,current_no2_y
86,58999335253,3581,52.194631709999996,45.78175166666667,49.0486696075
87,59027167797,3581,39.833354936666666,45.78175166666667,39.833354936666666
88,59247394649,3581,53.90236266633334,45.78175166666667,53.90236266633334
89,59030328495,3524,52.33016779,43.838164166666665,52.33016779
90,59058173346,3513,58.3979909075,56.14895666666667,58.3979909075
91,59216350629,3513,46.949941498,56.14895666666667,49.28087626233334
92,59216350629,3513,51.61181102666667,56.14895666666667,49.28087626233334
93,59092323132,3511,53.83841291416667,49.55589749999999,50.825538540416666
94,59092323132,3511,47.812664166666664,49.55589749999999,50.825538540416666
95,59185332246,3511,43.70136671499999,49.55589749999999,44.27076594166667
96,59185332246,3511,44.840165168333336,49.55589749999999,44.27076594166667
97,59216346692,3511,48.816181447333335,49.55589749999999,52.08805476883333
98,59216346692,3511,52.61328086999999,49.55589749999999,52.08805476883333
99,59216346692,3511,54.83470198916666,49.55589749999999,52.08805476883333
100,59278395393,3511,54.5790532875,49.55589749999999,54.5790532875
101,59120171083,3553,42.299904271666676,45.665042500000006,41.382855875000004
102,59120171083,3553,40.46580747833333,45.665042500000006,41.382855875000004
103,59151171827,3525,50.28282064,45.97466416666666,46.778099381666664
104,59151171827,3525,43.27337812333334,45.97466416666666,46.778099381666664
105,59151174462,3541,42.442598751333335,44.18824333333333,42.258192814833336
106,59151174462,3541,42.07378687833333,44.18824333333333,42.258192814833336
107,59154352024,3454,49.847010202166665,40.33584,49.847010202166665
108,59154360859,3561,46.936611373333335,45.09513833333333,44.4990584625
109,59154360859,3561,42.06150555166666,45.09513833333333,44.4990584625
110,59182134999,3526,45.6149640075,44.88250166666666,45.6149640075
111,59182170153,3526,51.55943411,44.88250166666666,43.691625805
112,59182170153,3526,35.823817500000004,44.88250166666666,43.691625805
113,59185338260,3584,51.552083262500005,41.01686,51.552083262500005
114,59213170308,3551,54.67715941,47.36161166666667,54.67715941
115,59213171548,3551,44.19950686333334,47.36161166666667,46.07822123666667
116,59213171548,3551,47.95693561,47.36161166666667,46.07822123666667
117,59275200533,3551,51.878292874,47.36161166666667,51.74270754066667
118,59275200533,3551,51.60712220733334,47.36161166666667,51.74270754066667
119,59213173594,3527,53.100968686666675,47.734820000000006,53.100968686666675
