field_1,Unnamed: 0,OPID,VertPC,AankPC,VertUur,VertMin,Reisduur,Hvm,geometry,length_m
"41","45","56175181282","3523.0","3511.0","11","38","12","8","LINESTRING (137025.28673705124 453832.41641358647, 136956.65649600016 453851.3005987035, 136956.26505569834 453873.83212696144, 136914.40105128862 453877.42190599605, 136896.6539361138 453878.3319600031, 136882.15292396338 453893.3046336831, 136891.73913501465 453920.09451058146, 136898.1872953013 454019.1368179633, 136904.60315011858 454113.1280667269, 136908.89544609212 454254.8241540406, 136911.0798669279 454288.1051725392, 136934.3264663553 454376.7839153474, 136936.60341051908 454380.8255151669, 136940.50441637676 454386.574628074, 136933.38256768355 454398.16036441736, 136937.45265083504 454405.1660983595, 136925.80799139722 454411.5501647951, 136872.41736456822 454439.4924607777, 136867.51144397273 454442.05817462667, 136864.3913777874 454443.69393165305, 136859.71813756495 454446.1475459081, 136850.63160123845 454450.8980763422, 136839.75558955682 454455.57726744574, 136804.58675092537 454474.01903446246, 136843.2263681161 454563.286462801, 136796.9158977388 454590.33594497305, 136757.1718622073 454617.05027158384, 136767.3776912917 454648.499454894, 136784.9835816679 454675.3265474101, 136811.17740044626 454699.9638803398, 136812.74662274122 454703.5629706745, 136802.9995911503 454728.14252886357, 136800.54499262036 454727.9957362267, 136753.26208765505 454773.5294745251, 136708.4831201107 454968.62127841223, 136705.2147512433 454980.1598237136, 136687.55459574758 455037.17874901736, 136642.21234232772 455154.3579071568, 136590.8252833573 455250.7208473017, 136589.12211730646 455257.23585925624, 136577.87442064172 455275.7688906326, 136528.49025481913 455347.84814111923, 136490.30554974626 455417.7166701778, 136399.67292454824 455576.63353541994, 136368.2878881847 455629.2879452609, 136332.16790344354 455703.9341970162, 136365.75031887175 455724.0354660149, 136369.88022352936 455725.1214830587, 136396.6181147642 455740.3753861085, 136422.55654092712 455708.5693691623)","2388.9093304159637"
"42","46","56175181282","3511.0","3511.0","12","43","4","8",,
"43","47","56175181282","3511.0","3523.0","14","5","14","8","LINESTRING (136422.55654092712 455708.5693691623, 136420.1212826291 455750.2008833648, 136396.6181147642 455740.3753861085, 136369.88022352936 455725.1214830587, 136365.75031887175 455724.0354660149, 136332.16790344354 455703.9341970162, 136326.27231891063 455703.53352166427, 136368.2878881847 455629.2879452609, 136399.67292454824 455576.63353541994, 136490.30554974626 455417.7166701778, 136528.49025481913 455347.84814111923, 136563.37719684566 455279.2938717716, 136568.690798885 455274.17848537164, 136584.54228988805 455247.6399287221, 136579.19743804797 455240.6169405099, 136631.23812104666 455148.6684931158, 136677.0614359729 455033.74604286964, 136691.97358942416 454978.80662043765, 136694.31423397415 454970.3645053949, 136695.8552578182 454964.42868139077, 136696.96405886646 454960.2523549111, 136714.77143137736 454892.8189951036, 136742.90710698435 454768.66086840286, 136761.43107012325 454722.4534729177, 136788.59105493483 454700.1688249897, 136784.9835816679 454675.3265474101, 136767.3776912917 454648.499454894, 136742.33424370224 454627.38507407694, 136740.03795328652 454619.95020409167, 136688.7847102229 454551.55779310415, 136701.79125143396 454542.85395621957, 136707.28243792104 454539.17332826013, 136795.73634118686 454481.4501670071, 136804.58675092537 454474.01903446246, 136839.75558955682 454455.57726744574, 136850.63160123845 454450.8980763422, 136839.62762141184 454428.00752917485, 136846.85824172338 454423.76441399514, 136913.72878475065 454386.9944607367, 136894.4555960826 454288.2100920911, 136892.51839094632 454258.844528924, 136900.4373179443 454255.2776764193, 136891.47792665072 454114.1103591712, 136877.83038656102 453907.49486141984, 136869.53666058218 453879.8213533633, 136878.41323565476 453879.25499927835, 136896.6539361138 453878.3319600031, 136914.40105128862 453877.42190599605, 136956.26505569834 453873.83212696144, 136956.65649600016 453851.3005987035, 137025.28673705124 453832.41641358647)","2449.080238089301"
"46","50","56175181871","3584.0","3584.0","7","45","10","8",,
"47","51","56175181871","3584.0","3584.0","13","0","10","8",,
"48","52","56175181871","3584.0","3583.0","19","25","5","8","LINESTRING (140025.19857689738 455497.31807536277, 139963.33557797063 455497.2041248845, 139963.44633970072 455375.0183175897, 139816.16251639382 455375.58768510947, 139729.13232160246 455376.19876193296, 139679.0455645491 455374.7059918203, 139668.43652905285 455375.01679864357, 139402.51087622766 455415.27325335424, 139336.38436633247 455472.0342217322, 139289.58284731174 455512.25747832336, 139282.87599851887 455504.53496227664, 139211.96176905572 455563.6157980915, 139182.55889646176 455522.53185738914, 139092.00861168676 455538.2187338841, 139049.47294319063 455554.98818062333, 139056.05043556445 455496.5445588416, 139039.5076572137 455467.3584750443, 138970.7259994886 455485.5924232693, 138893.28867552296 455433.98412458383, 138878.07798640622 455416.48767710064, 138853.90219412345 455420.1263379748, 138811.85393116315 455420.3407636004, 138766.3584585847 455326.0626561259, 138739.78818805303 455272.4108528183, 138694.56004782757 455300.35148066044, 138610.35201307814 455215.4696790308, 138576.0894156637 455234.68590216886, 138522.70882054121 455265.7368913906, 138484.63402964387 455286.4238710691, 138461.17363313836 455299.19650117395, 138368.6585930677 455351.04027107806, 138389.3045362046 455431.62364782154, 138391.2979503821 455458.0078479439, 138380.31932557785 455507.677534985)","2308.758734959655"
"49","53","56175181871","3583.0","3584.0","22","45","5","8","LINESTRING (138380.31932557785 455507.677534985, 138391.2979503821 455458.0078479439, 138389.3045362046 455431.62364782154, 138368.6585930677 455351.04027107806, 138461.17363313836 455299.19650117395, 138484.63402964387 455286.4238710691, 138522.70882054121 455265.7368913906, 138576.0894156637 455234.68590216886, 138610.35201307814 455215.4696790308, 138694.56004782757 455300.35148066044, 138739.78818805303 455272.4108528183, 138766.3584585847 455326.0626561259, 138811.85393116315 455420.3407636004, 138853.90219412345 455420.1263379748, 138878.07798640622 455416.48767710064, 138893.28867552296 455433.98412458383, 138970.7259994886 455485.5924232693, 139039.5076572137 455467.3584750443, 139056.05043556445 455496.5445588416, 139049.47294319063 455554.98818062333, 139092.00861168676 455538.2187338841, 139182.55889646176 455522.53185738914, 139211.96176905572 455563.6157980915, 139282.87599851887 455504.53496227664, 139289.58284731174 455512.25747832336, 139336.38436633247 455472.0342217322, 139402.51087622766 455415.27325335424, 139668.43652905285 455375.01679864357, 139679.0455645491 455374.7059918203, 139729.13232160246 455376.19876193296, 139816.16251639382 455375.58768510947, 139963.44633970072 455375.0183175897, 139963.33557797063 455497.2041248845, 140025.19857689738 455497.31807536277)","2308.758734959656"
"51","55","56175182553","3582.0","3584.0","9","55","20","8","LINESTRING (137614.4319816518 454695.3810393166, 137626.82251676128 454712.1380325176, 137645.194030429 454714.18790427403, 137654.0163027995 454643.3402617643, 137657.06756730736 454623.88141114434, 137657.66111761928 454621.0978476135, 137662.46728987238 454599.6635901019, 137663.0991831105 454590.1709251157, 137664.6050764888 454581.65430418175, 137678.0827884411 454587.7266929705, 137869.79416262673 454616.0689235268, 137997.5294969311 454629.56086176046, 138127.1493658734 454637.01940841245, 138142.85673913534 454637.7561539493, 138142.43877692675 454656.03755517676, 138157.8353897181 454658.14389542677, 138161.63463572494 454658.6094637871, 138227.84431483474 454651.67704676744, 138235.99831496945 454648.6121963147, 138300.74578073047 454620.54631338845, 138311.99013370645 454604.7987357998, 138324.0294410967 454584.865154316, 138330.2777937366 454587.9150033161, 138540.52486143785 454584.1448522004, 138574.49531543488 454570.6370096088, 138646.52323826944 454537.6005737433, 138664.5734250099 454527.31655959995, 138670.37423726593 454531.90368728683, 138676.78762191185 454537.245379938, 138688.42299535414 454544.1832391863, 138711.18236344814 454540.0700124235, 139168.15241310102 454953.5282570597, 139174.81452398884 454959.8266333979, 139177.02832223 454961.9112814642, 139411.38488300773 455130.08662659634, 139512.3213661563 455118.90156129864, 139652.8488282264 455112.06900057866, 139684.62195263727 455113.09489274217, 139684.55800894398 455134.64610079525, 139987.35870438593 455217.7583990394, 139977.78838002298 455344.3674675058, 139994.05424845678 455349.32510656636, 139994.22643535244 455360.973483268, 140024.9963779268 455361.7264170235, 140025.19857689738 455497.31807536277)","3136.843970922562"
"52","56","56175182553","3584.0","3582.0","14","35","15","8","LINESTRING (140025.19857689738 455497.31807536277, 140024.9963779268 455361.7264170235, 139994.22643535244 455360.973483268, 139994.05424845678 455349.32510656636, 139977.78838002298 455344.3674675058, 139987.35870438593 455217.7583990394, 139684.55800894398 455134.64610079525, 139684.62195263727 455113.09489274217, 139652.8488282264 455112.06900057866, 139512.3213661563 455118.90156129864, 139411.38488300773 455130.08662659634, 139177.02832223 454961.9112814642, 139174.81452398884 454959.8266333979, 139168.15241310102 454953.5282570597, 138711.18236344814 454540.0700124235, 138688.42299535414 454544.1832391863, 138676.78762191185 454537.245379938, 138670.37423726593 454531.90368728683, 138664.5734250099 454527.31655959995, 138646.52323826944 454537.6005737433, 138574.49531543488 454570.6370096088, 138540.52486143785 454584.1448522004, 138330.2777937366 454587.9150033161, 138324.0294410967 454584.865154316, 138212.93972129142 454604.37510175793, 138170.1499035587 454620.4741937027, 138157.11406567728 454623.2330085687, 138141.37316505145 454622.72997695045, 138142.85673913534 454637.7561539493, 138127.1493658734 454637.01940841245, 137997.5294969311 454629.56086176046, 137996.85831124312 454639.7768049904, 137868.61470289927 454627.91102711594, 137673.725606937 454602.2835138225, 137657.66111761928 454621.0978476135, 137657.06756730736 454623.88141114434, 137654.0163027995 454643.3402617643, 137645.194030429 454714.18790427403, 137626.82251676128 454712.1380325176, 137614.4319816518 454695.3810393166)","3096.5659660703664"
"53","57","56175182553","3582.0","3582.0","15","10","5","8",,
