field_1,Unnamed: 0,OPID,VertPC,AankPC,VertUur,VertMin,Reisduur,Hvm,geometry,length_m
"44","48","56175181282","3523.0","3525.0","14","33","2","9","LINESTRING (137025.28673705124 453832.41641358647, 136999.6154834655 453780.695446747, 136987.94970143714 453755.1256209444, 137011.00743111386 453743.77166907414, 137084.30336621837 453710.1184136331, 137073.0180164501 453662.53984314855, 137064.4284003892 453632.4750034433, 137063.72007889755 453629.9853357065, 137057.3924672775 453607.3890189037, 137047.44938183588 453572.8119401826, 137042.14825746688 453555.4077742192, 137039.72118036382 453547.8397369568, 137032.1755323967 453520.27453573904, 137019.6330147252 453476.0829259817, 137017.82031753255 453469.6809092971, 137002.78504837057 453415.02880362835, 136992.99889717324 453386.1366443536, 136973.23263564138 453318.42872077023, 136972.12314962692 453315.00593701325, 136956.59439416946 453319.35678985604, 136930.5356575972 453326.1824674944, 136876.31973293412 453341.58864591096, 136854.74611545936 453267.62384298036, 136853.77399801044 453264.28959277156, 136823.48577016022 453160.6280909043, 136815.7494848656 453133.9206198202, 136814.374612043 453129.21935365145, 136787.79057775353 453045.10401286767, 136782.7648072791 453028.38893257815, 136773.28439165663 452995.5241225558, 136764.255947527 452998.1161382496, 136759.35256194847 452990.5128023171, 136740.21099750508 452922.4029971713, 136717.08156322726 452844.0942664575, 136716.47067794632 452842.07158256177, 136673.7851690664 452824.1264825533, 136637.13497897825 452819.4661535843, 136624.97942397647 452777.48819800885, 136613.9843213136 452739.68935387634, 136602.76468823303 452743.26883224875)","1414.6011835713095"
"45","49","56175181282","3525.0","3523.0","14","48","2","9","LINESTRING (136602.76468823303 452743.26883224875, 136613.9843213136 452739.68935387634, 136624.97942397647 452777.48819800885, 136637.13497897825 452819.4661535843, 136673.7851690664 452824.1264825533, 136716.47067794632 452842.07158256177, 136717.08156322726 452844.0942664575, 136740.21099750508 452922.4029971713, 136759.35256194847 452990.5128023171, 136764.255947527 452998.1161382496, 136773.28439165663 452995.5241225558, 136782.7648072791 453028.38893257815, 136787.79057775353 453045.10401286767, 136814.374612043 453129.21935365145, 136815.7494848656 453133.9206198202, 136823.48577016022 453160.6280909043, 136853.77399801044 453264.28959277156, 136854.74611545936 453267.62384298036, 136876.31973293412 453341.58864591096, 136930.5356575972 453326.1824674944, 136956.59439416946 453319.35678985604, 136972.12314962692 453315.00593701325, 136973.23263564138 453318.42872077023, 136992.99889717324 453386.1366443536, 137002.78504837057 453415.02880362835, 137017.82031753255 453469.6809092971, 137019.6330147252 453476.0829259817, 137032.1755323967 453520.27453573904, 137039.72118036382 453547.8397369568, 137042.14825746688 453555.4077742192, 137047.44938183588 453572.8119401826, 137057.3924672775 453607.3890189037, 137063.72007889755 453629.9853357065, 137064.4284003892 453632.4750034433, 137073.0180164501 453662.53984314855, 137084.30336621837 453710.1184136331, 137011.00743111386 453743.77166907414, 136987.94970143714 453755.1256209444, 136999.6154834655 453780.695446747, 137025.28673705124 453832.41641358647)","1414.601183571309"
"54","58","56175182553","3582.0","3582.0","17","5","5","9",,
"55","59","56175182553","3582.0","3582.0","17","30","5","9",,
"77","84","56178354287","3584.0","3514.0","16","0","5","9","LINESTRING (139984.7653506953 455421.49393513973, 139963.4257161473 455395.42341908644, 139963.41614387117 455405.87073929684, 139909.57048424706 455405.5441049186, 139803.18323276204 455401.0056377476, 139683.6240435899 455405.90027372417, 139684.23496263282 455363.8644493505, 139684.2272729319 455350.2240244713, 139684.28742974144 455338.5860670667, 139516.53565786843 455343.3550422163, 139466.30225756648 455343.32237162214, 139415.98249494878 455352.9255770948, 139360.10203318283 455398.8953366691, 139347.1843335823 455379.92163027887, 139334.54324087396 455390.0749055945, 139288.19699997295 455390.1986956539, 139276.352746032 455376.9961692173, 139256.34601639298 455355.3526032825, 139231.70163912736 455330.2413712363, 139230.6709318735 455329.42131305166, 139197.09472474488 455297.6184571282, 139175.40462534386 455277.04865386215, 139137.30405814238 455240.97708024096, 139092.35531982456 455198.3967224477, 139041.99760877766 455245.5873915007, 138966.59946813667 455172.5650336287, 138963.12149781594 455167.42490539583, 138896.50625130144 455114.9472658745, 138865.1558472857 455104.82398337696, 138803.10053248325 455110.3436831882, 138688.79703058608 455171.0307843999, 138610.35201307814 455215.4696790308, 138576.0894156637 455234.68590216886, 138522.70882054121 455265.7368913906, 138484.63402964387 455286.4238710691, 138461.17363313836 455299.19650117395, 138368.6585930677 455351.04027107806, 138270.16613563502 455398.0104201641, 138213.92178312654 455424.2679410205, 138222.68264876993 455467.4295131007, 138214.30696627274 455644.2052952075, 138204.94380372541 455684.512981914, 138135.00897501965 455878.4753099479, 138144.5131371903 455942.829286323, 138114.13566244594 455947.7275480201, 138112.47076982478 455957.95799177483, 138108.77257505897 455993.03969887644, 138086.76437525466 456012.41804450675, 138063.69757680743 456024.7573302574, 138035.93344009796 456136.7349773879, 138028.4027280247 456148.9992551437, 137958.1826623052 456249.69589813985, 137954.37681207576 456264.9626878066, 137934.42487236997 456269.94875199086, 137910.4167163643 456269.11879300827, 137865.27313776125 456232.046371082, 137784.41816244752 456307.8153535843, 137751.71353785953 456338.4806090744, 137644.43858059897 456378.9182957686, 137571.13897210438 456373.9229573147, 137570.8400446783 456380.5328565225, 137630.2939144272 456508.2741813207, 137598.62689604727 456523.43830053933, 137519.31728138623 456548.9500383793, 137451.0647560788 456571.542405803, 137415.2153489581 456577.9885229135, 137379.71627870307 456574.97654204996, 137349.867153484 456685.0518981746, 137326.57572486764 456684.84528077266, 137310.44088291537 456700.8684472982, 137318.22153058532 456732.6834726771, 137296.99665865168 456739.3344088673, 137274.9203955533 456739.7133912389, 137268.86851635153 456802.774999787, 137266.35660134192 456820.8637398139, 137262.2789014167 456847.56960564136, 137253.36645809963 456896.16648154537, 137216.17741223943 456883.6489512805, 137191.904423368 456901.84892429103, 137181.7329561262 456923.9148667605, 137176.01007273217 456929.2202242791, 137110.84668014344 456953.45289289695, 137072.95510928356 456958.9297466337, 137006.12481754576 456952.07254529913, 136954.32423757968 456957.5894909438, 136949.22842606524 456958.13089619426, 136920.51084957307 456961.4950756069, 136867.578014776 456968.3744153542, 136825.36996982712 456977.55160414276, 136832.26129844948 457016.5231814021)","4805.528203709798"
"78","85","56178354287","3514.0","3512.0","20","0","5","9","LINESTRING (136832.26129844948 457016.5231814021, 136825.36996982712 456977.55160414276, 136867.578014776 456968.3744153542, 136862.77130196383 456924.1548342492, 136852.1113849098 456862.59999625874, 136842.95364319367 456842.8624470383, 136830.19617694692 456813.1023787188, 136806.49923860247 456769.2967732703, 136787.25649350358 456735.0433625144, 136784.60183306842 456730.5136591192, 136756.80893714554 456678.0338582045, 136738.84226050798 456646.25706246844, 136736.49798106024 456642.30479941546, 136736.8328238796 456627.11654373753, 136746.24677600747 456621.2074634763, 136740.66976230973 456608.3439835285, 136743.20446489454 456602.5602766591, 136753.75067791325 456578.3892487733, 136755.9119205825 456573.5303781581, 136791.92905384713 456485.78102927003, 136814.24723742373 456495.0452869967, 136820.74113473078 456477.5425787651, 136816.1605131746 456420.41605783225, 136808.39748899275 456383.1833777834, 136808.8192224967 456352.3293775152, 136811.93751806972 456352.41811520804, 136856.29244544744 456353.61359657074, 136825.31391165243 456206.0287051798, 136872.84924745545 456199.5246487392, 136894.8426304141 456196.4294461653, 136889.5896955769 456161.5351124282, 136892.16462647697 456136.5589606255, 136906.46290926434 456137.3747923252, 136901.56717273773 456072.55016639596, 136962.36355258006 456046.85089982365, 137008.73608810682 456027.2236683988, 136989.31886615348 455948.93337467336)","1386.134232980317"
"79","86","56178354287","3512.0","3514.0","21","15","5","9","LINESTRING (136989.31886615348 455948.93337467336, 137008.73608810682 456027.2236683988, 136962.36355258006 456046.85089982365, 136901.56717273773 456072.55016639596, 136906.46290926434 456137.3747923252, 136892.16462647697 456136.5589606255, 136889.5896955769 456161.5351124282, 136894.8426304141 456196.4294461653, 136872.84924745545 456199.5246487392, 136825.31391165243 456206.0287051798, 136856.29244544744 456353.61359657074, 136811.93751806972 456352.41811520804, 136808.8192224967 456352.3293775152, 136808.39748899275 456383.1833777834, 136816.1605131746 456420.41605783225, 136820.74113473078 456477.5425787651, 136814.24723742373 456495.0452869967, 136791.92905384713 456485.78102927003, 136755.9119205825 456573.5303781581, 136753.75067791325 456578.3892487733, 136743.20446489454 456602.5602766591, 136740.66976230973 456608.3439835285, 136746.24677600747 456621.2074634763, 136736.8328238796 456627.11654373753, 136736.49798106024 456642.30479941546, 136738.84226050798 456646.25706246844, 136756.80893714554 456678.0338582045, 136784.60183306842 456730.5136591192, 136787.25649350358 456735.0433625144, 136806.49923860247 456769.2967732703, 136830.19617694692 456813.1023787188, 136842.95364319367 456842.8624470383, 136852.1113849098 456862.59999625874, 136862.77130196383 456924.1548342492, 136867.578014776 456968.3744153542, 136825.36996982712 456977.55160414276, 136832.26129844948 457016.5231814021)","1386.1342329803165"
"95","102","56178356891","3522.0","3511.0","15","0","30","9","LINESTRING (136334.17629909387 453939.55411100807, 136363.24835774556 453925.5822505176, 136388.76570601488 453912.5250488789, 136429.64669930039 453996.6629207897, 136483.00103409332 453971.241637302, 136555.91855105924 453935.3790190258, 136604.4938695966 453913.2255353889, 136638.51355851372 453900.2049754808, 136657.20227663688 453894.3728473382, 136710.21791124335 453889.9944957301, 136733.15350708706 453888.6753337541, 136758.77470601475 453886.81239299645, 136805.48109272297 453883.81553981296, 136869.53666058218 453879.8213533633, 136914.40105128862 453877.42190599605, 136956.26505569834 453873.83212696144, 136976.8642156197 453872.8897115998, 137057.7985142273 453868.547620203, 137090.8129965657 453867.29394079006, 137124.67126382538 453866.1709636087, 137180.4388022451 453862.3329206889, 137207.7331235964 453860.4551803957, 137242.29314806926 453858.07326128555, 137292.4766362258 453855.22434789466, 137302.10048869572 453854.62271507736, 137309.69543067366 453850.3011050674, 137318.68553110192 453852.71689509606, 137335.77387843997 453851.59928961744, 137377.7652604078 453848.9916924726, 137380.47031488625 453861.6768601908, 137430.1017877088 453988.0261247904, 137454.8053309384 454031.29696757975, 137487.43906727928 454042.9311376377, 137499.31430174556 454062.69363315974, 137504.43451998552 454058.48114920035, 137570.40457348988 454002.58656799805, 137581.41093776168 453993.5360199419, 137712.38991724033 453891.81102527067, 137734.3678696979 453873.26567081566, 137757.55673009605 453849.95430631767, 137754.4735173019 453793.1223933361, 137752.67224647783 453793.67380330793, 137892.25941264583 453901.9932421577, 137883.63349445947 453895.71445394395, 137881.41381360922 453894.2089507865, 137862.84405710653 453881.22204852564, 137832.87515309258 453940.6044378634, 137806.5823802406 453952.5109209808, 137780.96778805094 453978.1001464149, 137749.80941557023 454008.33711015404, 137709.38357204114 454050.7893819032, 137675.26200694888 454070.48968280014, 137656.50370587848 454099.79404025053, 137646.47303630976 454107.47252890357, 137604.99927412215 454139.91593356564, 137587.00639441487 454223.2345137499, 137572.29025065847 454294.5701476454, 137555.59519999154 454376.2265515708, 137537.51301101907 454466.8220527136, 137520.5029626755 454538.4774435962, 137511.3192611833 454587.90906584356, 137496.6039436297 454639.35170257615, 137451.62189836588 454871.0084860089, 137446.53135380097 454906.7186106996, 137436.93060950536 454977.4247714508, 137435.73443882607 454982.2687980574, 137426.51496271818 455028.85248758836, 137413.90749852167 455102.01704019896, 137395.8395935197 455154.4398294741, 137390.10885691067 455154.2932061743, 137317.65461122888 455191.76646981324, 137264.71068374606 455143.24517146073, 137261.28161972942 455146.56180908997, 137223.02017421243 455190.5680908025, 137199.41667291647 455275.655063909, 137176.736627206 455319.79517137393, 137131.54250957916 455406.239324255, 137130.32306567545 455410.2156844123, 137117.13025228915 455444.86492866464, 137102.0135082296 455480.02179736417, 137096.2544287863 455494.76221036806, 137093.81561434307 455500.80127667583, 137084.5112756217 455515.0204090652, 137042.5279119179 455580.51471139526, 137041.8812295968 455581.7409049737, 137024.49402792798 455614.2137179154, 136993.64866750507 455666.2391498582, 136993.15823124046 455667.0753745508, 136970.68364473296 455659.07924075145, 136892.57119645708 455634.16235301323, 136869.85686787282 455626.2899317957, 136800.04126603768 455604.58195147983, 136771.87828216812 455600.5461216855, 136694.16258344828 455581.53880097414, 136633.5047648996 455556.80658789276, 136626.2337287483 455570.0288687139, 136617.606955896 455587.3060349201, 136609.126205097 455608.84393984254, 136601.97523495767 455622.9892732127, 136581.79327101572 455655.0623171752, 136555.28053462342 455694.9916131724, 136520.68416777486 455674.8372022925, 136498.0657163144 455661.5254994706, 136422.55654092712 455708.5693691623)","4845.538013821819"
"96","103","56178356891","3511.0","3522.0","17","30","30","9","LINESTRING (136422.55654092712 455708.5693691623, 136498.0657163144 455661.5254994706, 136520.68416777486 455674.8372022925, 136555.28053462342 455694.9916131724, 136581.79327101572 455655.0623171752, 136601.97523495767 455622.9892732127, 136609.126205097 455608.84393984254, 136617.606955896 455587.3060349201, 136626.2337287483 455570.0288687139, 136633.5047648996 455556.80658789276, 136694.16258344828 455581.53880097414, 136771.87828216812 455600.5461216855, 136800.04126603768 455604.58195147983, 136869.85686787282 455626.2899317957, 136892.57119645708 455634.16235301323, 136970.68364473296 455659.07924075145, 136993.15823124046 455667.0753745508, 136993.64866750507 455666.2391498582, 137024.49402792798 455614.2137179154, 137041.8812295968 455581.7409049737, 137042.5279119179 455580.51471139526, 137084.5112756217 455515.0204090652, 137093.81561434307 455500.80127667583, 137096.2544287863 455494.76221036806, 137102.0135082296 455480.02179736417, 137117.13025228915 455444.86492866464, 137130.32306567545 455410.2156844123, 137131.54250957916 455406.239324255, 137176.736627206 455319.79517137393, 137199.41667291647 455275.655063909, 137223.02017421243 455190.5680908025, 137261.28161972942 455146.56180908997, 137264.71068374606 455143.24517146073, 137317.65461122888 455191.76646981324, 137390.10885691067 455154.2932061743, 137395.8395935197 455154.4398294741, 137413.90749852167 455102.01704019896, 137426.51496271818 455028.85248758836, 137435.73443882607 454982.2687980574, 137436.93060950536 454977.4247714508, 137446.53135380097 454906.7186106996, 137451.62189836588 454871.0084860089, 137496.6039436297 454639.35170257615, 137511.3192611833 454587.90906584356, 137520.5029626755 454538.4774435962, 137537.51301101907 454466.8220527136, 137555.59519999154 454376.2265515708, 137572.29025065847 454294.5701476454, 137587.00639441487 454223.2345137499, 137604.99927412215 454139.91593356564, 137646.47303630976 454107.47252890357, 137656.50370587848 454099.79404025053, 137675.26200694888 454070.48968280014, 137709.38357204114 454050.7893819032, 137749.80941557023 454008.33711015404, 137780.96778805094 453978.1001464149, 137806.5823802406 453952.5109209808, 137832.87515309258 453940.6044378634, 137862.84405710653 453881.22204852564, 137881.41381360922 453894.2089507865, 137883.63349445947 453895.71445394395, 137892.25941264583 453901.9932421577, 137752.67224647783 453793.67380330793, 137754.4735173019 453793.1223933361, 137757.55673009605 453849.95430631767, 137734.3678696979 453873.26567081566, 137712.38991724033 453891.81102527067, 137581.41093776168 453993.5360199419, 137570.40457348988 454002.58656799805, 137504.43451998552 454058.48114920035, 137499.31430174556 454062.69363315974, 137487.43906727928 454042.9311376377, 137454.8053309384 454031.29696757975, 137430.1017877088 453988.0261247904, 137380.47031488625 453861.6768601908, 137377.7652604078 453848.9916924726, 137335.77387843997 453851.59928961744, 137318.68553110192 453852.71689509606, 137309.69543067366 453850.3011050674, 137302.10048869572 453854.62271507736, 137292.4766362258 453855.22434789466, 137242.29314806926 453858.07326128555, 137207.7331235964 453860.4551803957, 137180.4388022451 453862.3329206889, 137124.67126382538 453866.1709636087, 137090.8129965657 453867.29394079006, 137057.7985142273 453868.547620203, 136976.8642156197 453872.8897115998, 136956.26505569834 453873.83212696144, 136914.40105128862 453877.42190599605, 136869.53666058218 453879.8213533633, 136805.48109272297 453883.81553981296, 136758.77470601475 453886.81239299645, 136733.15350708706 453888.6753337541, 136710.21791124335 453889.9944957301, 136657.20227663688 453894.3728473382, 136638.51355851372 453900.2049754808, 136604.4938695966 453913.2255353889, 136555.91855105924 453935.3790190258, 136483.00103409332 453971.241637302, 136429.64669930039 453996.6629207897, 136388.76570601488 453912.5250488789, 136363.24835774556 453925.5822505176, 136334.17629909387 453939.55411100807)","4845.538013821821"
"97","104","56178356891","3511.0","3522.0","17","30","30","9","LINESTRING (136422.55654092712 455708.5693691623, 136498.0657163144 455661.5254994706, 136520.68416777486 455674.8372022925, 136555.28053462342 455694.9916131724, 136581.79327101572 455655.0623171752, 136601.97523495767 455622.9892732127, 136609.126205097 455608.84393984254, 136617.606955896 455587.3060349201, 136626.2337287483 455570.0288687139, 136633.5047648996 455556.80658789276, 136694.16258344828 455581.53880097414, 136771.87828216812 455600.5461216855, 136800.04126603768 455604.58195147983, 136869.85686787282 455626.2899317957, 136892.57119645708 455634.16235301323, 136970.68364473296 455659.07924075145, 136993.15823124046 455667.0753745508, 136993.64866750507 455666.2391498582, 137024.49402792798 455614.2137179154, 137041.8812295968 455581.7409049737, 137042.5279119179 455580.51471139526, 137084.5112756217 455515.0204090652, 137093.81561434307 455500.80127667583, 137096.2544287863 455494.76221036806, 137102.0135082296 455480.02179736417, 137117.13025228915 455444.86492866464, 137130.32306567545 455410.2156844123, 137131.54250957916 455406.239324255, 137176.736627206 455319.79517137393, 137199.41667291647 455275.655063909, 137223.02017421243 455190.5680908025, 137261.28161972942 455146.56180908997, 137264.71068374606 455143.24517146073, 137317.65461122888 455191.76646981324, 137390.10885691067 455154.2932061743, 137395.8395935197 455154.4398294741, 137413.90749852167 455102.01704019896, 137426.51496271818 455028.85248758836, 137435.73443882607 454982.2687980574, 137436.93060950536 454977.4247714508, 137446.53135380097 454906.7186106996, 137451.62189836588 454871.0084860089, 137496.6039436297 454639.35170257615, 137511.3192611833 454587.90906584356, 137520.5029626755 454538.4774435962, 137537.51301101907 454466.8220527136, 137555.59519999154 454376.2265515708, 137572.29025065847 454294.5701476454, 137587.00639441487 454223.2345137499, 137604.99927412215 454139.91593356564, 137646.47303630976 454107.47252890357, 137656.50370587848 454099.79404025053, 137675.26200694888 454070.48968280014, 137709.38357204114 454050.7893819032, 137749.80941557023 454008.33711015404, 137780.96778805094 453978.1001464149, 137806.5823802406 453952.5109209808, 137832.87515309258 453940.6044378634, 137862.84405710653 453881.22204852564, 137881.41381360922 453894.2089507865, 137883.63349445947 453895.71445394395, 137892.25941264583 453901.9932421577, 137752.67224647783 453793.67380330793, 137754.4735173019 453793.1223933361, 137757.55673009605 453849.95430631767, 137734.3678696979 453873.26567081566, 137712.38991724033 453891.81102527067, 137581.41093776168 453993.5360199419, 137570.40457348988 454002.58656799805, 137504.43451998552 454058.48114920035, 137499.31430174556 454062.69363315974, 137487.43906727928 454042.9311376377, 137454.8053309384 454031.29696757975, 137430.1017877088 453988.0261247904, 137380.47031488625 453861.6768601908, 137377.7652604078 453848.9916924726, 137335.77387843997 453851.59928961744, 137318.68553110192 453852.71689509606, 137309.69543067366 453850.3011050674, 137302.10048869572 453854.62271507736, 137292.4766362258 453855.22434789466, 137242.29314806926 453858.07326128555, 137207.7331235964 453860.4551803957, 137180.4388022451 453862.3329206889, 137124.67126382538 453866.1709636087, 137090.8129965657 453867.29394079006, 137057.7985142273 453868.547620203, 136976.8642156197 453872.8897115998, 136956.26505569834 453873.83212696144, 136914.40105128862 453877.42190599605, 136869.53666058218 453879.8213533633, 136805.48109272297 453883.81553981296, 136758.77470601475 453886.81239299645, 136733.15350708706 453888.6753337541, 136710.21791124335 453889.9944957301, 136657.20227663688 453894.3728473382, 136638.51355851372 453900.2049754808, 136604.4938695966 453913.2255353889, 136555.91855105924 453935.3790190258, 136483.00103409332 453971.241637302, 136429.64669930039 453996.6629207897, 136388.76570601488 453912.5250488789, 136363.24835774556 453925.5822505176, 136334.17629909387 453939.55411100807)","4845.538013821821"
